% 1. Title: Tweets Sentiment Analysis
@RELATION tweetfeatures

@ATTRIBUTE countfirstpersonpronouns NUMERIC
@ATTRIBUTE countsecondpersonpronouns NUMERIC
@ATTRIBUTE countthirdpersonpronouns NUMERIC
@ATTRIBUTE countcoordinatingconjunctions NUMERIC
@ATTRIBUTE countpasttenseverbs NUMERIC
@ATTRIBUTE countfuturetenseverbs NUMERIC
@ATTRIBUTE countcommas NUMERIC
@ATTRIBUTE countcolonssemicolons NUMERIC
@ATTRIBUTE countdashes NUMERIC
@ATTRIBUTE countparentheses NUMERIC
@ATTRIBUTE countellipses NUMERIC
@ATTRIBUTE countcommonnouns NUMERIC
@ATTRIBUTE countpropernouns NUMERIC
@ATTRIBUTE countadverbs NUMERIC
@ATTRIBUTE countwhwords NUMERIC
@ATTRIBUTE countslangacronyms NUMERIC
@ATTRIBUTE countuppercase NUMERIC
@ATTRIBUTE averagelengthsentences NUMERIC
@ATTRIBUTE averagelengthtokens NUMERIC
@ATTRIBUTE numbersentences NUMERIC
@ATTRIBUTE class {0,4}

@DATA
0,0,0,0,1,0,2,0,1,0,1,9,2,3,0,0,0,15.0,4.375,2,0
0,0,1,1,0,0,1,0,0,0,0,8,0,1,0,1,0,11.0,3.8,2,0
1,0,0,0,2,0,2,0,0,0,1,7,0,1,0,0,0,9.0,3.92,3,0
2,1,0,0,1,0,0,0,0,0,0,6,1,2,0,0,0,13.0,3.29166666667,2,0
2,0,1,0,2,0,1,0,0,0,0,6,2,0,1,0,1,24.0,3.95454545455,1,0
1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4.5,3.33333333333,4,0
3,0,1,0,0,0,0,0,0,0,1,13,3,2,0,1,0,5.33333333333,2.92592592593,6,0
4,1,0,0,0,0,0,0,0,0,1,6,0,1,0,0,0,12.0,2.79166666667,2,0
2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,8.0,3.42857142857,1,0
3,2,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,7.33333333333,3.26315789474,3,0
0,0,0,0,1,2,1,0,0,0,0,8,1,2,0,0,2,10.6666666667,3.81481481481,3,0
1,0,1,0,2,0,0,0,0,0,0,3,0,2,0,2,0,7.0,3.27777777778,3,0
0,0,1,0,0,0,1,0,0,0,0,10,0,0,0,0,1,13.0,2.08333333333,1,0
3,0,1,0,1,1,0,0,0,0,0,3,0,2,0,0,0,7.33333333333,4.21052631579,3,0
0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,7.0,4.72727272727,2,0
3,0,0,0,2,0,0,0,0,0,0,4,0,2,0,0,0,8.66666666667,3.16666666667,3,0
4,0,1,1,1,0,1,0,0,0,1,6,1,2,0,1,0,11.5,2.47619047619,2,0
2,0,0,1,0,0,0,0,0,0,3,4,0,2,0,1,0,24.0,3.39130434783,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5.0,2.0,1,0
2,0,1,1,0,0,0,0,0,0,0,9,0,0,0,1,0,27.0,3.68,1,0
0,0,0,0,2,1,0,0,0,0,0,9,0,0,1,0,0,9.5,3.47058823529,2,0
0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,6.0,2.83333333333,1,0
3,0,0,0,1,0,0,0,0,1,0,9,2,2,1,0,0,8.25,3.88888888889,4,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,2.0,1,0
3,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,1,11.0,2.9,1,0
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,7.0,3.71428571429,1,0
1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,13.0,4.25,1,0
1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,8.0,2.85714285714,1,0
1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,12.0,3.54545454545,1,0
3,0,1,0,0,0,1,0,0,0,0,8,0,1,0,0,0,8.0,2.90476190476,3,0
1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,6.0,5.0,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,4.5,1,0
0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,9.0,3.0,1,0
3,2,1,1,0,0,1,0,0,0,0,6,0,2,0,0,0,35.0,2.90909090909,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.0,3.25,2,0
0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,2,0,4.5,2.42857142857,2,0
0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,8.0,4.16666666667,1,0
0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,6.0,4.09523809524,4,0
1,0,0,2,0,0,1,0,1,0,0,9,0,1,0,1,0,33.0,3.06896551724,1,0
2,0,1,0,1,0,0,0,0,0,3,6,0,1,1,0,0,13.5,4.0,2,0
0,0,1,1,0,0,0,0,4,0,0,6,0,3,0,0,2,14.0,4.28571428571,1,0
0,0,0,0,0,0,0,0,1,0,0,5,2,1,0,0,0,15.0,4.14285714286,1,0
0,0,1,0,0,0,1,0,0,0,0,5,0,1,0,0,0,5.66666666667,2.69230769231,3,0
0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,4.0,5.85714285714,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,3.33333333333,1,0
0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,4.0,3.75,1,0
2,0,0,0,3,0,0,0,0,0,0,6,1,1,0,0,0,14.0,4.0,2,0
1,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,6.5,3.9,2,0
0,0,0,0,1,0,0,0,0,0,0,13,0,2,0,0,0,13.0,3.125,2,0
1,0,0,1,0,0,0,0,0,0,0,11,1,1,0,0,5,4.0,3.5,5,0
0,0,0,0,0,1,1,0,0,0,1,3,0,3,0,1,0,18.0,3.4,1,0
1,2,0,0,1,0,0,0,0,0,0,5,0,0,0,1,0,10.0,3.2,1,0
1,0,0,1,1,0,2,0,0,0,0,6,1,0,0,0,9,6.5,4.0,2,0
2,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,14.0,3.96296296296,2,0
2,1,0,1,0,0,0,0,0,0,0,6,1,1,0,0,0,28.0,3.28,1,0
0,0,0,1,0,0,0,0,0,0,1,6,2,1,0,0,0,24.0,3.63636363636,1,0
2,0,0,0,1,0,0,0,0,0,0,4,0,2,0,0,0,10.0,3.15789473684,2,0
0,0,0,0,1,0,1,0,2,0,0,6,1,1,0,0,0,18.0,4.53333333333,1,0
0,0,0,1,0,0,3,0,0,0,0,11,1,1,0,0,0,27.0,4.45833333333,1,0
1,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,15.0,3.92857142857,1,0
0,0,1,2,2,0,0,0,1,0,0,6,1,3,0,0,0,10.0,4.0,3,0
1,0,1,0,1,0,0,0,0,0,1,2,2,0,0,0,1,6.5,3.9,2,0
1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,5.0,2.75,1,0
0,0,0,1,0,0,0,0,0,0,1,6,0,1,0,0,0,21.0,3.57142857143,1,0
0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,5.66666666667,4.42857142857,3,0
0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,10.0,3.88888888889,1,0
0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,9.0,4.875,1,0
2,0,1,0,0,0,1,0,0,0,0,6,1,2,0,0,0,12.0,4.54545454545,2,0
0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,7.0,2.71428571429,1,0
0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6.0,1.8,1,0
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5.0,4.0,1,0
0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,8.0,3.16666666667,1,0
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,7.0,4.14285714286,1,0
2,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,1,6.5,4.0,4,0
0,0,0,0,0,0,0,0,0,0,2,3,0,2,0,0,0,7.0,5.2,1,0
1,0,0,1,0,0,0,0,0,0,0,4,0,3,0,1,0,9.0,3.73333333333,2,0
1,0,2,1,0,0,1,0,0,0,0,6,0,1,0,0,0,16.0,3.34482758621,2,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,8.0,3.71428571429,1,0
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,12.0,3.27272727273,1,0
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.0,4.2,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,5.5,1,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,7.0,3.0,1,0
0,0,1,0,1,0,0,0,0,0,1,4,0,1,0,0,0,10.0,4.61111111111,2,0
1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,15.0,4.6,1,0
0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,9.0,5.0,1,0
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9.0,5.11111111111,1,0
0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,6.0,2.8,1,0
2,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,8.0,4.28571428571,2,0
0,0,0,1,1,0,1,0,0,0,0,3,0,0,0,0,0,6.0,4.5,2,0
2,1,1,0,2,0,2,0,1,0,0,6,0,1,1,0,1,14.5,3.53846153846,2,0
2,0,0,1,0,1,0,0,0,0,0,11,0,2,0,2,0,14.5,3.60714285714,2,0
1,0,1,0,0,1,0,0,0,0,0,6,1,4,0,1,0,5.2,3.66666666667,5,0
0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8.0,3.5,1,0
0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,5.5,3.9,2,0
2,0,1,1,0,0,0,0,0,0,0,3,0,1,0,1,0,23.0,3.27272727273,1,0
0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,6.0,3.27272727273,2,0
0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,5.0,4.0,2,0
4,0,2,1,1,0,0,0,0,0,2,4,1,1,0,1,0,11.5,2.52380952381,2,0
0,0,2,0,0,0,0,0,1,0,1,6,0,3,0,1,0,9.0,3.5,2,0
